"Integracao","Data_Integr","Objeto","Categoria","Qtd_Erros","Chave","Qtd_Chaves","Lst_Chaves"
"DW_SFDC","2022-01-19 07:52:00","CONSULTA","Chave Duplicada na Origem",364,"HealthCloudGA__SourceSystemId__c",175,"309353raw_mssql_proonco|309385raw_mssql_proonco|309440raw_mssql_proonco|309470raw_mssql_proonco|309514raw_mssql_proonco|309520raw_mssql_proonco|309523raw_mssql_proonco|309557raw_mssql_proonco|309579raw_mssql_proonco|309586raw_mssql_proonco|309629raw_mssql_proonco|309724raw_mssql_proonco|309788raw_mssql_proonco|309816raw_mssql_proonco|309831raw_mssql_proonco|309871raw_mssql_proonco|309878raw_mssql_proonco|309882raw_mssql_proonco|309892raw_mssql_proonco|309910raw_mssql_proonco|309923raw_mssql_proonco|309980raw_mssql_proonco|309985raw_mssql_proonco|309991raw_mssql_proonco|309994raw_mssql_proonco|310003raw_mssql_proonco|310010raw_mssql_proonco|310015raw_mssql_proonco|310017raw_mssql_proonco|310043raw_mssql_proonco|310045raw_mssql_proonco|310047raw_mssql_proonco|310060raw_mssql_proonco|310071raw_mssql_proonco|310074raw_mssql_proonco|310077raw_mssql_proonco|310079raw_mssql_proonco|310102raw_mssql_proonco|310108raw_mssql_proonco|310113raw_mssql_proonco|310114raw_mssql_proonco|310115raw_mssql_proonco|310129raw_mssql_proonco|310141raw_mssql_proonco|310147raw_mssql_proonco|310154raw_mssql_proonco|310165raw_mssql_proonco|310170raw_mssql_proonco|310171raw_mssql_proonco|310173raw_mssql_proonco|310174raw_mssql_proonco|310181raw_mssql_proonco|310194raw_mssql_proonco|310195raw_mssql_proonco|310202raw_mssql_proonco|310213raw_mssql_proonco|310214raw_mssql_proonco|310218raw_mssql_proonco|310219raw_mssql_proonco|310221raw_mssql_proonco|310238raw_mssql_proonco|310274raw_mssql_proonco|310275raw_mssql_proonco|310286raw_mssql_proonco|310294raw_mssql_proonco|310313raw_mssql_proonco|310322raw_mssql_proonco|310351raw_mssql_proonco|310362raw_mssql_proonco|310364raw_mssql_proonco|310382raw_mssql_proonco|310383raw_mssql_proonco|310384raw_mssql_proonco|310404raw_mssql_proonco|310424raw_mssql_proonco|310426raw_mssql_proonco|310427raw_mssql_proonco|310428raw_mssql_proonco|310430raw_mssql_proonco|310442raw_mssql_proonco|310445raw_mssql_proonco|310448raw_mssql_proonco|310449raw_mssql_proonco|310453raw_mssql_proonco|310454raw_mssql_proonco|310456raw_mssql_proonco|310457raw_mssql_proonco|310458raw_mssql_proonco|310475raw_mssql_proonco|310482raw_mssql_proonco|310489raw_mssql_proonco|310491raw_mssql_proonco|310511raw_mssql_proonco|310513raw_mssql_proonco|310519raw_mssql_proonco|310522raw_mssql_proonco|310526raw_mssql_proonco|310540raw_mssql_proonco|310549raw_mssql_proonco|310554raw_mssql_proonco|310555raw_mssql_proonco|310562raw_mssql_proonco|441920raw_oracle_goc|455835raw_oracle_goc|456845raw_oracle_goc|458486raw_oracle_goc|461378raw_oracle_goc|469591raw_oracle_goc|469615raw_oracle_goc|469650raw_oracle_goc|469659raw_oracle_goc|471285raw_oracle_goc|471546raw_oracle_goc|471566raw_oracle_goc|471792raw_oracle_goc|475467raw_oracle_goc|476073raw_oracle_goc|476696raw_oracle_goc|478491raw_oracle_goc|479067raw_oracle_goc|479917raw_oracle_goc|480130raw_oracle_goc|481949raw_oracle_goc|485188raw_oracle_goc|487099raw_oracle_goc|487268raw_oracle_goc|487553raw_oracle_goc|488217raw_oracle_goc|488477raw_oracle_goc|489278raw_oracle_goc|490042raw_oracle_goc|490497raw_oracle_goc|490599raw_oracle_goc|491751raw_oracle_goc|493643raw_oracle_goc|493663raw_oracle_goc|493718raw_oracle_goc|494503raw_oracle_goc|494573raw_oracle_goc|495214raw_oracle_goc|495299raw_oracle_goc|495427raw_oracle_goc|495515raw_oracle_goc|495613raw_oracle_goc|496150raw_oracle_goc|497831raw_oracle_goc|498051raw_oracle_goc|499056raw_oracle_goc|499088raw_oracle_goc|499416raw_oracle_goc|499467raw_oracle_goc|499549raw_oracle_goc|499644raw_oracle_goc|500011raw_oracle_goc|500075raw_oracle_goc|500370raw_oracle_goc|502403raw_oracle_goc|502612raw_oracle_goc|503341raw_oracle_goc|503853raw_oracle_goc|504568raw_oracle_goc|504658raw_oracle_goc|505540raw_oracle_goc|505588raw_oracle_goc|505729raw_oracle_goc|506163raw_oracle_goc|506970raw_oracle_goc|507168raw_oracle_goc|507269raw_oracle_goc|507273raw_oracle_goc|507361raw_oracle_goc|507518raw_oracle_goc|507604raw_oracle_goc|508072raw_oracle_goc|6065620220328SMART"
"DW_SFDC","2022-04-19 07:32:00","PACIENTE","Paciente sem Origem__c rejeitado no SFDC",28,"HealthCloudGA__SourceSystemId__c",28,"00174696787|01184896747|01869492510|03188272715|05327320731|05467013700|07730830736|07784813520|09144595700|09430847767|10345620704|15481727587|20472218700|25942190704|28491814809|28726847787|35113790753|43266401700|44998317687|49556860797|66273480710|69353107768|73429384753|77439279700|81643217704|88281809787|88720870744|96400706704"
"DW_SFDC","2022-04-19 07:33:00","PLANO_CONVENIO","Convênio Inexistente no SFDC",2,"Id_do_Convenio__r.HealthCloudGA__SourceSystemId__c",1,"CONraw_RADIAR0"
"DW_SFDC","2022-04-24 07:35:00","PLANO_CONVENIO","Convênio Inexistente no SFDC",1,"Id_do_Convenio__r.HealthCloudGA__SourceSystemId__c",1,"CONraw_RADIAR0"
"DW_SFDC","2022-04-24 07:51:00","CONSULTA","Chave Duplicada na Origem",530,"HealthCloudGA__SourceSystemId__c",256,"309440raw_mssql_proonco|309470raw_mssql_proonco|309514raw_mssql_proonco|309520raw_mssql_proonco|309523raw_mssql_proonco|309557raw_mssql_proonco|309579raw_mssql_proonco|309586raw_mssql_proonco|309629raw_mssql_proonco|309724raw_mssql_proonco|309788raw_mssql_proonco|309831raw_mssql_proonco|309871raw_mssql_proonco|309878raw_mssql_proonco|309882raw_mssql_proonco|309892raw_mssql_proonco|309910raw_mssql_proonco|309923raw_mssql_proonco|309980raw_mssql_proonco|309985raw_mssql_proonco|309991raw_mssql_proonco|310003raw_mssql_proonco|310010raw_mssql_proonco|310015raw_mssql_proonco|310017raw_mssql_proonco|310043raw_mssql_proonco|310045raw_mssql_proonco|310047raw_mssql_proonco|310060raw_mssql_proonco|310071raw_mssql_proonco|310074raw_mssql_proonco|310077raw_mssql_proonco|310079raw_mssql_proonco|310102raw_mssql_proonco|310108raw_mssql_proonco|310113raw_mssql_proonco|310114raw_mssql_proonco|310115raw_mssql_proonco|310129raw_mssql_proonco|310141raw_mssql_proonco|310147raw_mssql_proonco|310154raw_mssql_proonco|310165raw_mssql_proonco|310170raw_mssql_proonco|310171raw_mssql_proonco|310173raw_mssql_proonco|310181raw_mssql_proonco|310194raw_mssql_proonco|310195raw_mssql_proonco|310202raw_mssql_proonco|310213raw_mssql_proonco|310214raw_mssql_proonco|310218raw_mssql_proonco|310219raw_mssql_proonco|310221raw_mssql_proonco|310238raw_mssql_proonco|310274raw_mssql_proonco|310275raw_mssql_proonco|310286raw_mssql_proonco|310294raw_mssql_proonco|310313raw_mssql_proonco|310322raw_mssql_proonco|310351raw_mssql_proonco|310362raw_mssql_proonco|310364raw_mssql_proonco|310382raw_mssql_proonco|310383raw_mssql_proonco|310384raw_mssql_proonco|310388raw_mssql_proonco|310397raw_mssql_proonco|310398raw_mssql_proonco|310404raw_mssql_proonco|310424raw_mssql_proonco|310426raw_mssql_proonco|310427raw_mssql_proonco|310428raw_mssql_proonco|310430raw_mssql_proonco|310442raw_mssql_proonco|310445raw_mssql_proonco|310448raw_mssql_proonco|310449raw_mssql_proonco|310453raw_mssql_proonco|310454raw_mssql_proonco|310456raw_mssql_proonco|310457raw_mssql_proonco|310458raw_mssql_proonco|310475raw_mssql_proonco|310482raw_mssql_proonco|310491raw_mssql_proonco|310511raw_mssql_proonco|310513raw_mssql_proonco|310519raw_mssql_proonco|310522raw_mssql_proonco|310526raw_mssql_proonco|310540raw_mssql_proonco|310549raw_mssql_proonco|310554raw_mssql_proonco|310555raw_mssql_proonco|310562raw_mssql_proonco|310587raw_mssql_proonco|310589raw_mssql_proonco|310590raw_mssql_proonco|310591raw_mssql_proonco|310593raw_mssql_proonco|310594raw_mssql_proonco|310609raw_mssql_proonco|310612raw_mssql_proonco|310614raw_mssql_proonco|310628raw_mssql_proonco|310632raw_mssql_proonco|310644raw_mssql_proonco|310650raw_mssql_proonco|310664raw_mssql_proonco|310668raw_mssql_proonco|310677raw_mssql_proonco|310678raw_mssql_proonco|310704raw_mssql_proonco|310705raw_mssql_proonco|310708raw_mssql_proonco|310709raw_mssql_proonco|310715raw_mssql_proonco|310743raw_mssql_proonco|310748raw_mssql_proonco|310761raw_mssql_proonco|310778raw_mssql_proonco|310784raw_mssql_proonco|310798raw_mssql_proonco|310799raw_mssql_proonco|310800raw_mssql_proonco|310801raw_mssql_proonco|310802raw_mssql_proonco|310803raw_mssql_proonco|310821raw_mssql_proonco|310826raw_mssql_proonco|310832raw_mssql_proonco|310845raw_mssql_proonco|310847raw_mssql_proonco|310852raw_mssql_proonco|310859raw_mssql_proonco|310864raw_mssql_proonco|310873raw_mssql_proonco|310886raw_mssql_proonco|310896raw_mssql_proonco|310897raw_mssql_proonco|310907raw_mssql_proonco|452026raw_oracle_goc|455835raw_oracle_goc|456845raw_oracle_goc|458187raw_oracle_goc|458486raw_oracle_goc|458623raw_oracle_goc|458939raw_oracle_goc|461378raw_oracle_goc|462436raw_oracle_goc|469591raw_oracle_goc|469615raw_oracle_goc|469650raw_oracle_goc|469659raw_oracle_goc|471285raw_oracle_goc|471546raw_oracle_goc|471566raw_oracle_goc|471792raw_oracle_goc|475467raw_oracle_goc|476073raw_oracle_goc|476696raw_oracle_goc|478491raw_oracle_goc|479067raw_oracle_goc|479917raw_oracle_goc|480130raw_oracle_goc|481949raw_oracle_goc|485188raw_oracle_goc|487099raw_oracle_goc|487268raw_oracle_goc|487553raw_oracle_goc|488217raw_oracle_goc|488477raw_oracle_goc|489278raw_oracle_goc|490042raw_oracle_goc|490497raw_oracle_goc|490599raw_oracle_goc|491751raw_oracle_goc|493643raw_oracle_goc|493663raw_oracle_goc|493718raw_oracle_goc|494503raw_oracle_goc|494573raw_oracle_goc|495214raw_oracle_goc|495299raw_oracle_goc|495427raw_oracle_goc|495515raw_oracle_goc|495613raw_oracle_goc|496150raw_oracle_goc|497831raw_oracle_goc|498051raw_oracle_goc|499056raw_oracle_goc|499088raw_oracle_goc|499416raw_oracle_goc|499467raw_oracle_goc|499549raw_oracle_goc|499644raw_oracle_goc|500011raw_oracle_goc|500075raw_oracle_goc|500370raw_oracle_goc|502403raw_oracle_goc|502612raw_oracle_goc|503341raw_oracle_goc|503853raw_oracle_goc|504568raw_oracle_goc|504658raw_oracle_goc|505540raw_oracle_goc|505588raw_oracle_goc|506163raw_oracle_goc|506970raw_oracle_goc|507168raw_oracle_goc|507269raw_oracle_goc|507273raw_oracle_goc|507361raw_oracle_goc|507518raw_oracle_goc|507604raw_oracle_goc|508072raw_oracle_goc|509324raw_oracle_goc|509676raw_oracle_goc|509719raw_oracle_goc|509740raw_oracle_goc|510361raw_oracle_goc|510405raw_oracle_goc|510505raw_oracle_goc|510605raw_oracle_goc|512236raw_oracle_goc|512323raw_oracle_goc|512552raw_oracle_goc|513300raw_oracle_goc|514189raw_oracle_goc|515138raw_oracle_goc|515360raw_oracle_goc|515519raw_oracle_goc|515661raw_oracle_goc|516559raw_oracle_goc|517191raw_oracle_goc|517203raw_oracle_goc|517802raw_oracle_goc|517863raw_oracle_goc|517996raw_oracle_goc|519248raw_oracle_goc|519833raw_oracle_goc|519902raw_oracle_goc|520401raw_oracle_goc|521052raw_oracle_goc|521230raw_oracle_goc|521816raw_oracle_goc|521955raw_oracle_goc|521969raw_oracle_goc|522307raw_oracle_goc|522510raw_oracle_goc|522542raw_oracle_goc|6065620220328SMART"
"DW_SFDC","2022-04-24 07:51:00","CONSULTA","Paciente inexistente no SFDC",1,"HealthCloudGA__Account__r.HealthCloudGA__SourceSystemId__c",1,"10649564839"
"TASY_SFDC","2022-04-05 11:03:00","PACIENTE","Paciente Inexistente",1,"HealthCloudGA__SourceSystemId__c",1,""
"TASY_SFDC","2022-04-05 11:05:00","ENCAMINHAMENTO","Atendimento inexistente no SFDC",2,"Numero_Atendimento__r.HealthCloudGA__SourceSystemId__c",2,"435555raw_oracle_goc|462333raw_oracle_goc"
"TASY_SFDC","2022-04-05 11:05:00","ENCAMINHAMENTO","Equipe Inexitente no SFDC",1,"Local_solicitacao_EMR__r.HealthCloudGA__SourceSystemId__c",1,"UNIraw_oracle_goc19"
"TASY_SFDC","2022-04-05 11:05:00","SOLICITACAO","CRM_UF inexistente no SFDC",4,"Contact.CRM_UF__c",1,"783862DF"
